,RA,DEC,NAME,TYPE,RMAG,BMAG,COMMENT,R,B,Z,CITE,ZCITE,RXPCT,QPCT,XNAME,RNAME,LOBE1,LOBE2
61,0.0098334,-47.5743889,b'J000002.36-473427.8      ',b'R   ',19.78,20.06,b'j  ',b'-',b'1',,b'MQ    ',b'      ',91,78,b'                      ',b'RACS J000002.2-473427 ',b'SUMSS J000002.1-473429',b'                      '
62,0.0098522,21.6055558,b'SDSS J000002.36+213619.9 ',b'Q   ',21.2,21.7,b'gG ',b'-',b'-',2.766,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
63,0.0102961,21.8275863,b'SDSS J000002.46+214939.3 ',b'Q   ',20.33,20.5,b'gG ',b'1',b'-',2.105,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
64,0.0104237,2.3052601,b'SDSS J000002.50+021818.9 ',b'Q   ',21.12,21.68,b'gmN',b'1',b'-',0.788,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
65,0.0106307,-32.258663,b'J000002.55-321531.1      ',b'X   ',19.57,21.21,b'pG ',b'-',b'1',,b'MQ    ',b'      ',96,73,b'4XMM J000002.4-321531 ',b'                      ',b'                      ',b'                      '
66,0.0109913,28.3331769,b'SDSS J000002.63+281959.4 ',b'Q   ',21.1,21.5,b'gG ',b'-',b'-',1.498,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
67,0.0111783,-25.1936023,b'XMM J00000-2511          ',b'QX  ',21.42,21.88,b'p  ',b'n',b'-',1.314,b'0609  ',b'0609  ',98,82,b'CXOX J240002.6-251138 ',b'                      ',b'4XMM J000002.7-251136 ',b'                      '
68,0.0114041,22.1914015,b'J000002.73+221129.0      ',b'R   ',19.08,21.29,b'pN ',b'-',b'-',0.2,b'MQ    ',b'MQ    ',97,60,b'                      ',b'ILTJ000002.73+221128.5',b'                      ',b'                      '
69,0.011875,-31.7948056,b'2QZ J000002.8-314741     ',b'K   ',19.74,20.86,b'j  ',b'-',b'-',0.351,b'2QZ   ',b'2QZ   ',,,b'                      ',b'                      ',b'                      ',b'                      '
70,0.0120579,9.9502336,b'WISEA J000002.89+095700.8',b'2   ',20.0,20.38,b'j  ',b'1',b'-',2.0,b'WISEA ',b'MQ    ',100,94,b'                      ',b'                      ',b'VLAJ000002.97+095654.5',b'VLAJ000002.87+095711.3'
71,0.0121789,27.984543,b'SDSS J000002.92+275904.3 ',b'Q   ',19.82,20.12,b'p+G',b'-',b'1',1.533,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
72,0.0121868,-35.0590578,b'MS 23574-3520            ',b'QX  ',17.09,17.18,b'jG ',b'-',b'-',0.508,b'1123  ',b'1814  ',100,100,b'CXOG J000002.9-350332 ',b'                      ',b'                      ',b'                      '
73,0.0122603,20.1758719,b'J000002.94+201033.1      ',b'R   ',19.68,20.75,b'jmN',b'-',b'-',0.1,b'MQ    ',b'MQ    ',71,50,b'                      ',b'ILTJ000003.06+201034.1',b'                      ',b'                      '
